Data from QP-MAY-28-pixel_Subt2_10-09-54-736.txt Node
Date: Tue May 23 10:09:54 CEST 2023
User: manip_nanotech
Spectrometer: HDX00993
Trigger mode: 0
Integration Time (sec): 2,000000E-1
Scans to average: 1
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
346,023	9
346,387	-3
346,752	9
347,116	21
347,48	-32
347,844	2
348,208	-25
348,572	6
348,936	17
349,3	29
349,663	10
350,027	35
350,39	17
350,754	13
351,117	-10
351,48	-3
351,843	2
352,206	15
352,569	7
352,932	37
353,295	15
353,657	5
354,02	5
354,382	20
354,745	-8
355,107	16
355,469	-46
355,831	29
356,193	37
356,555	56
356,917	18
357,279	16
357,64	35
358,002	-3
358,363	11
358,725	5
359,086	24
359,447	9
359,808	-29
360,169	11
360,53	-17
360,891	21
361,252	31
361,612	47
361,973	37
362,333	14
362,694	12
363,054	13
363,414	-35
363,774	-11
364,134	12
364,494	0
364,854	-17
365,214	24
365,573	-23
365,933	-22
366,292	8
366,652	-13
367,011	6
367,37	-21
367,729	-14
368,088	-14
368,447	-21
368,806	20
369,165	-12
369,523	8
369,882	-11
370,24	-2
370,599	13
370,957	-19
371,315	45
371,673	14
372,031	12
372,389	-5
372,747	1
373,105	22
373,463	10
373,82	-4
374,178	21
374,535	7
374,892	2
375,249	11
375,607	-15
375,964	2
376,32	6
376,677	17
377,034	2
377,391	15
377,747	-56
378,104	19
378,46	3
378,816	4
379,173	-1
379,529	0
379,885	13
380,241	-4
380,596	4
380,952	2
381,308	34
381,663	5
382,019	15
382,374	20
382,73	41
383,085	-40
383,44	-7
383,795	7
384,15	34
384,505	24
384,86	24
385,214	-3
385,569	11
385,923	-6
386,278	13
386,632	-2
386,986	23
387,34	-2
387,694	-18
388,048	-10
388,402	-9
388,756	31
389,11	-35
389,463	-3
389,817	-25
390,17	-20
390,524	40
390,877	24
391,23	10
391,583	49
391,936	19
392,289	-2
392,642	25
392,994	2
393,347	2
393,7	-23
394,052	-25
394,404	-19
394,757	-3
395,109	-4
395,461	-15
395,813	-16
396,165	16
396,517	23
396,868	-6
397,22	4
397,571	-3
397,923	-31
398,274	15
398,626	38
398,977	-16
399,328	-12
399,679	55
400,03	-8
400,381	-29
400,731	20
401,082	-15
401,433	-17
401,783	-58
402,133	-14
402,484	9
402,834	-23
403,184	-26
403,534	5
403,884	-5
404,234	-18
404,584	-27
404,933	8
405,283	-10
405,632	4
405,982	14
406,331	-12
406,68	2
407,03	-34
407,379	-2
407,728	-29
408,076	13
408,425	10
408,774	-51
409,123	-18
409,471	-32
409,82	9
410,168	41
410,516	-9
410,864	-28
411,212	32
411,56	-25
411,908	22
412,256	-45
412,604	-2
412,951	-15
413,299	-6
413,647	-14
413,994	-23
414,341	-21
414,688	28
415,035	-4
415,383	-19
415,729	1
416,076	-19
416,423	0
416,77	-24
417,116	-11
417,463	-3
417,809	-12
418,156	6
418,502	-8
418,848	-18
419,194	15
419,54	6
419,886	-35
420,232	8
420,577	-24
420,923	-12
421,268	5
421,614	-11
421,959	21
422,305	13
422,65	-15
422,995	-20
423,34	-2
423,685	39
424,03	36
424,374	28
424,719	-29
425,064	2
425,408	-6
425,752	-15
426,097	3
426,441	3
426,785	8
427,129	35
427,473	-13
427,817	-5
428,161	12
428,504	27
428,848	39
429,191	-23
429,535	5
429,878	15
430,221	-26
430,565	35
430,908	-32
431,251	-13
431,594	26
431,936	-1
432,279	28
432,622	-42
432,964	3
433,307	-35
433,649	33
433,991	27
434,334	6
434,676	12
435,018	-29
435,36	8
435,702	-31
436,043	4
436,385	1
436,727	-39
437,068	14
437,41	-24
437,751	3
438,092	9
438,433	31
438,774	-10
439,115	9
439,456	25
439,797	-17
440,138	-6
440,479	-8
440,819	-6
441,16	-8
441,5	-22
441,84	26
442,18	-46
442,521	-2
442,861	8
443,201	8
443,54	25
443,88	-11
444,22	-26
444,559	7
444,899	7
445,238	-16
445,578	-4
445,917	2
446,256	8
446,595	1
446,934	12
447,273	24
447,612	-21
447,951	-26
448,289	21
448,628	-9
448,966	34
449,305	-19
449,643	-12
449,981	35
450,319	-5
450,657	45
450,995	12
451,333	16
451,671	25
452,009	-4
452,346	10
452,684	37
453,021	3
453,359	40
453,696	8
454,033	-1
454,37	4
454,707	-17
455,044	-10
455,381	-21
455,718	-38
456,054	4
456,391	5
456,728	-23
457,064	41
457,4	1
457,736	-3
458,073	-5
458,409	0
458,745	-16
459,081	-31
459,416	21
459,752	41
460,088	-21
460,423	-4
460,759	-8
461,094	-20
461,429	-15
461,765	-3
462,1	29
462,435	-35
462,77	8
463,105	2
463,439	-26
463,774	12
464,109	7
464,443	24
464,778	-34
465,112	-28
465,446	29
465,78	10
466,115	9
466,449	-4
466,783	11
467,116	-12
